(34.0522, -118.2437)
(40.7128, -74.0060)
(51.5074, -0.1278)
(48.8566, 2.3522)
(41.8781, -87.6298)
(35.6895, 139.6917)
(55.7558, 37.6176)
(37.7749, -122.4194)
(19.4326, -99.1332)
(52.5200, 13.4050)
(33.6844, -117.8265)
(45.5051, -73.5594)
(30.2672, -97.7431)
(51.1657, 10.4515)
(40.7128, -74.0060)
(34.0522, -118.2437)
(48.8566, 2.3522)
(41.8781, -87.6298)
(55.7558, 37.6176)
(37.7749, -122.4194)
(19.4326, -99.1332)
(52.5200, 13.4050)
(33.6844, -117.8265)
(45.5051, -73.5594)
(30.2672, -97.7431)
(51.1657, 10.4515)
(40.7128, -74.0060)
(34.0522, -118.2437)
(48.8566, 2.3522)
(41.8781, -87.6298)
(55.7558, 37.6176)
(37.7749, -122.4194)
(19.4326, -99.1332)
(52.5200, 13.4050)
(33.6844, -117.8265)
(45.5051, -73.5594)
(30.2672, -97.7431)
(51.1657, 10.4515)
(40.7128, -74.0060)
(34.0522, -118.2437)
(48.8566, 2.3522)
(41.8781, -87.6298)
(55.7558, 37.6176)
(37.7749, -122.4194)
(19.4326, -99.1332)
(52.5200, 13.4050)
(33.6844, -117.8265)
(45.5051, -73.5594)
(30.2672, -97.7431)
(51.1657, 10.4515)
